|------
|NOME|CNPJ|SITE|EMAIL|DDD TELEFONE|TELEFONE|DDD CELULAR|CELULAR
|------
|TESTE SCAVA|43299155000183|NULL|NULL|NULL|NULL|NULL|NULL
|Alberto Cerqueira|15309053000166|albertocerqueira.com.br|alberto@wave.com.br|11|40449503|NULL|NULL
|Telefônica Ltda|60409075000152|NULL|NULL|11|23385902|NULL|NULL
|TESTE|56075687000189|NULL|NULL|NULL|NULL|NULL|NULL
|SBP CLINICA MEDICA LTDA|14838854000156|www.clinicaebela.com.br|NULL|11|31492222|NULL|NULL
|inetpub|03743498000170|NULL|leonardols@hotmail.com|NULL|NULL|NULL|NULL
|INTIMITAT MEIAS|57701922000143|NULL|NULL|11|50418535|NULL|NULL
|MEC-Q Comércio e Serviços de Metrologia Industrial Ltda|96513486000130|http://www.mecq.com.br|NULL|11|34638211|NULL|NULL
|RGOLDEN COMERCIO DE FERRAMENTAS E TREINAMENTO EM  MANUTENCAO|12689413000104|NULL|NULL|NULL|NULL|NULL|NULL
|TKS COMERCIO IMPORTACAO E EXPORTACAO LTDA|07844257000179|NULL|edevarde@tksimports.com.br|11|35938340|NULL|NULL
|DEP INDUSTRIA DE COSMETICOS LTDA|08599245000199|NULL|cristiane@depcosmeticos.com|11|41466163|NULL|NULL
|DEP INDUSTRIA DE COSMETICOS LTDA|08599245000199|NULL|cristiane@depcosmeticos.com|11|41466163|NULL|NULL
|CULTURA CAD MANUTENCAO EM EQUIPAMENTOS ELETRONICOS LTDA. - M|07577535000179|NULL|NULL|11|38041770|NULL|NULL
|D. JUNGMAN PRODUTOS NATURAIS|26244251000105|NULL|NULL|NULL|NULL|NULL|NULL
|ENVISIA GERENCIAMENTO DE ATIVOS E SERVICOS LTDA|12729135000171|NULL|augusto@envisia.com.br|11|30593900|NULL|NULL
|SOLUÇÕES EM ONDA|62181666000140|NULL|NULL|11|22222222|NULL|NULL
|NTS COMÉRCIO DE BRINDES LTDA|06147992000160|NULL|NULL|11|43654742|NULL|NULL
|XTRON COMERCIO E SERVICOS DE EQUIPAMENTOS ELETRONICOS LTDA|08144473000174|NULL|nfe@xtron.com.br|11|20661300|NULL|NULL
|LANDES COMERCIAL IMPORTADORA E EXPORTADORA LTDA|08880624000152|NULL|albert@landes1.com.br|11|36617855|NULL|NULL
|CERRETTI COMERCIO DE FERRO E ACO OXICORTE LTDA|07692774000170|NULL|NULL|11|27257578|NULL|NULL
|PAULO FREITAS &amp; CIA CORRETORA DE SEGUROS LTDA|03140994000130|NULL|pfreitasseguros@terra.com.br|11|38362738|NULL|NULL
|A G S REPRESENTACOES LTDA|05359993000106|NULL|geraldocastello@ig.com.br|11|91198583|NULL|NULL
|KINGSTON TECHNOLOGY DO BRASIL|08965001000182|NULL|NULL|11|21278608|NULL|NULL
|AMECQ SERVIÇOS ADMINISTRATIVOS LTDA.|14948369000135|NULL|NULL|11|34638202|NULL|NULL
|R M MARCENARIA E CARPINTARIA LTDA ME|01754587000197|NULL|NULL|11|56115921|NULL|NULL
|HAPPY 18 SERVIÇOS DE LIMPEZA LTDA EPP|07912198000129|NULL|NULL|11|39510098|NULL|NULL
|R. G. G. CONTRUCOES LTDA - EPP|50603539000103|NULL|glauco.34@hotmail.com|11|28645927|NULL|NULL
